feature,coef,p_value,ci_lower,ci_upper
const,-0.6317533002901522,0.028843226366888287,-1.197867291518365,-0.06563930906193949
us_10y,-0.025561707578262382,0.2622375946651507,-0.07033925900090131,0.01921584384437654
usd_krw,0.0006516206285978097,0.009295296148695564,0.00016171429908871395,0.0011415269581069054
vix,0.0061833997325461,0.001493443373436367,0.0023860114489333215,0.009980788016158879
inflation_exp,-0.07309484714383642,0.06703185045232204,-0.15134804887461173,0.00515835458693889
