date,us_10y,usd_krw,vix,inflation_exp
2020-01-05,-0.014344445197930327,-0.06848708487515978,-0.024527778039191615,-0.005211527732608374
2020-01-12,-0.01573798690806143,-0.0687506265349657,-0.022979236389073777,-0.00610298606530705
2020-01-19,-0.014825973010156304,-0.06722986250511895,-0.004238888274048804,-0.011276111376137123
2020-01-26,-0.014658681298096781,-0.06896798764508276,-0.02557465318393952,-0.004369513796482352
2020-02-02,-0.015628056611458305,-0.059965696060680786,-0.02652916729581193,0.03446875099165481
2020-02-09,-0.013136597999109654,-0.060022571104564125,-0.025790069814611342,0.031128403236798476
2020-02-16,-0.015847362147978855,-0.0722820848441188,-0.021509444527182495,6.805572113080416e-05
2020-02-23,-0.009002292855584529,-0.0527732657915476,-0.02475909756292822,0.008380486994428792
2020-03-01,0.01813159751785861,-0.0009535399451851845,0.0570442400144384,0.07945687807667128
2020-03-08,0.0023692353539081523,-0.05150979238744185,0.07818909634122974,0.018380626540383672
2020-03-15,0.02015708503240603,-0.016021387992950623,0.2681227708116785,0.16317069359072775
2020-03-22,0.03684666637796909,0.011354027216148097,0.5244349764595972,0.22779346770548728
2020-03-29,0.029635625485389026,0.005977985689096386,0.4688251904056233,0.17399034622867476
2020-04-05,0.011108473461354152,-0.01806347084908339,0.18463361384623567,0.16275055688376597
2020-04-12,0.0279737517455942,-0.019993886851370917,0.14510486250946997,0.07234444827539846
2020-04-19,-0.02261972369189607,-0.04797819451443502,0.02911485971591901,0.03291222549516533
2020-04-26,-0.02888326561798749,-0.040122014097360076,0.06268506960812374,0.059249377812593595
2020-05-03,-0.037933059334318384,-0.05120652856850939,-0.03609722262866853,0.03566597598488443
2020-05-10,-0.035733892449279665,-0.05167236180692271,-0.04557791704763076,0.03741333657446375
2020-05-17,-0.030280628537002485,-0.050203125683474355,-0.04453298613603693,0.04144590612180764
2020-05-24,-0.01296257119771326,-0.019981735213441425,-0.006746456441906048,0.08211993429227732
