date,kospi_price,kospi_return,anomaly_flag,regime_hmm,regime_cusum,vix,usd_krw,us_10y,inflation_exp,bok_rate,anomaly_frequency_weekly
2020-03-06,2040.219970703125,-0.0215992436682092,0.0,0.0,0.0,41.94,1192.0,0.74,1.31,0.75,0.0
2020-03-09,1954.77001953125,-0.041882714804730714,0.0,0.0,0.0,54.46,1203.75,0.54,0.99,0.75,0.0
2020-03-10,1962.9300537109375,0.004174421593412969,1.0,0.0,0.0,47.3,1193.1,0.76,1.0,0.75,0.2
2020-03-11,1908.27001953125,-0.027846144632791225,1.0,0.0,0.0,53.9,1194.16,0.82,0.96,0.75,0.4
2020-03-12,1834.3299560546875,-0.038747170326935865,0.0,0.0,0.0,75.47,1206.19,0.88,0.92,0.75,0.4
2020-03-13,1771.43994140625,-0.034285006599195755,1.0,0.0,0.0,57.83,1211.7,0.94,0.9,0.75,0.6
2020-03-16,1714.8599853515625,-0.031940092764179084,1.0,0.0,0.0,82.69,1225.33,0.73,0.73,0.75,0.8
2020-03-17,1672.43994140625,-0.024736739038561217,1.0,0.0,0.0,75.91,1240.98,1.02,0.63,0.75,0.8
2020-03-18,1591.199951171875,-0.048575729521303734,1.0,0.0,0.0,76.45,1245.19,1.18,0.63,0.75,0.8
2020-03-19,1457.6400146484375,-0.08393661426716004,1.0,0.0,0.0,72.0,1250.86,1.12,0.5,0.75,1.0
2020-03-20,1566.1500244140625,0.07444225506652002,1.0,0.0,1.0,66.04,1250.55,0.92,0.75,0.75,1.0
2020-03-23,1482.4599609375,-0.05343681139862266,1.0,0.0,0.0,61.59,1267.25,0.76,0.8,0.75,1.0
2020-03-24,1609.969970703125,0.08601244763803839,1.0,0.0,1.0,61.67,1249.88,0.84,0.97,0.75,1.0
2020-03-25,1704.760009765625,0.05887689881638125,1.0,0.0,1.0,63.95,1228.15,0.88,1.07,0.75,1.0
2020-03-26,1686.239990234375,-0.010863710683708616,1.0,0.0,1.0,61.0,1233.47,0.83,1.07,0.75,1.0
2020-03-27,1717.72998046875,0.018674678821961832,1.0,0.0,1.0,65.54,1210.49,0.72,0.94,0.75,1.0
2020-03-30,1717.1199951171875,-0.0003551113146409435,0.0,0.0,1.0,57.08,1224.11,0.7,0.95,0.75,0.8
2020-03-31,1754.6400146484375,0.021850551876364088,1.0,0.0,1.0,53.54,1218.92,0.7,0.87,0.75,0.8
2020-04-01,1685.4599609375,-0.039426921267835424,1.0,0.0,0.0,57.06,1229.65,0.62,0.91,0.75,0.8
2020-04-02,1724.8599853515625,0.023376422654470597,0.0,0.0,1.0,50.91,1229.89,0.63,1.03,0.75,0.6
2020-04-03,1725.43994140625,0.0003362336999019888,0.0,0.0,1.0,46.8,1230.56,0.62,1.08,0.75,0.4
2020-04-06,1791.8800048828125,0.03850615827428516,1.0,0.0,1.0,45.24,1224.6,0.67,1.14,0.75,0.6
2020-04-07,1823.5999755859375,0.017702061866134544,0.0,1.0,1.0,46.7,1220.43,0.75,1.17,0.75,0.4
2020-04-08,1807.1400146484375,-0.009026080915696011,0.0,1.0,1.0,43.35,1220.77,0.77,1.19,0.75,0.2
2020-04-09,1836.2099609375,0.016086161588712233,0.0,1.0,1.0,41.67,1219.71,0.73,1.23,0.75,0.2
2020-04-10,1860.699951171875,0.013337249418836183,1.0,1.0,1.0,41.67,1211.71,0.73,1.23,0.75,0.4
2020-04-13,1825.760009765625,-0.018777848295338906,0.0,1.0,1.0,41.17,1217.72,0.76,1.26,0.75,0.2
2020-04-14,1857.0799560546875,0.017154470533661703,0.0,1.0,1.0,37.76,1216.85,0.76,1.29,0.75,0.2
2020-04-16,1857.0699462890625,-5.39005635824541e-06,0.0,1.0,1.0,40.11,1228.21,0.61,1.03,0.75,0.2
2020-04-17,1914.530029296875,0.030941259440783853,0.0,1.0,1.0,38.15,1217.81,0.65,1.01,0.75,0.2
2020-04-20,1898.3599853515625,-0.008445959947283255,0.0,1.0,1.0,43.83,1217.29,0.63,0.94,0.75,0.0
2020-04-21,1879.3800048828125,-0.00999809341495106,0.0,1.0,1.0,45.41,1229.28,0.58,0.96,0.75,0.0
2020-04-22,1896.1500244140625,0.008923165877938288,0.0,1.0,1.0,41.98,1234.79,0.63,1.06,0.75,0.0
2020-04-23,1914.72998046875,0.009798779535089341,0.0,1.0,1.0,41.38,1229.04,0.61,1.05,0.75,0.0
